edgeID,from,to,networkCanvasEgoUUID,networkCanvasUUID,networkCanvasSourceUUID,networkCanvasTargetUUID
1,2,4,aff41946-2537-401a-a542-d53d6c177529,0e7b3dde-3edd-479b-bf6d-7c61278f52ec,3945579e-67f4-46bd-abe5-de1a1112c92e,85214ab0-6643-43a1-8f19-26b590100c37
2,2,7,aff41946-2537-401a-a542-d53d6c177529,cb79412e-4a7e-4b15-873d-b001ebf965e3,3945579e-67f4-46bd-abe5-de1a1112c92e,3b6da20a-a194-488a-befa-bcb1a0a1a72b
3,2,8,aff41946-2537-401a-a542-d53d6c177529,42466c49-4d66-4a0a-81ff-9631b11cd089,3945579e-67f4-46bd-abe5-de1a1112c92e,42ec3105-1eaa-47e0-a6f8-f8e733ad5f5e
4,5,7,aff41946-2537-401a-a542-d53d6c177529,ca81a939-5f2b-4f11-9e1a-f2f83deb9036,a523288c-8ef2-4d60-a4a5-82c8a4d40d60,3b6da20a-a194-488a-befa-bcb1a0a1a72b
5,6,8,aff41946-2537-401a-a542-d53d6c177529,b8626c71-a35b-4f5c-b668-244f16e215e4,297dd6f6-957e-4719-aef2-9f39ff792984,42ec3105-1eaa-47e0-a6f8-f8e733ad5f5e
6,10,11,aff41946-2537-401a-a542-d53d6c177529,920da179-9618-4b27-92e3-91f0dbcc75f0,905d577f-d515-469e-90fa-0dd6d85c9868,3288c616-3e50-448e-a4f8-1fc5e45abd67
7,13,15,aff41946-2537-401a-a542-d53d6c177529,9729292c-d337-4080-9060-3f1c8822ea37,79de8629-5c46-4b40-bed5-4636ff74d3f4,1ff9cc42-c4c6-4833-a23d-1340d618ff41
